review_id,platform,product_name,category,subcategory,star_rating,review_text,sentiment
E001,Shopee,1600W Peak Power HiFi Sound Amplifier Digital 4 Channel,Electronics ,Speaker,5,barag dh sampai dengn baik comel pawer buyi pon boleh tahan bas ye pun bagus..cume rengan betul..x tau lh tahan bape lame ni..ape2 pon terime kasih lah ye,Neutral
E002,Shopee,"SPRISE Bass Stereo Portable Bluetooth Speaker Wireless Mini, Louder Volume Spiker 蓝牙音响",Electronics ,Speaker,2,"Performance:good
 Quality:superb
 
 Small but powerfull.. full recommended",Neutral
E003,Shopee,"SPRISE Bass Stereo Portable Bluetooth Speaker Wireless Mini, Louder Volume Spiker 蓝牙音响",Electronics ,Speaker,2,Bluetooth asik disconnect. Guna aux ada bunyi bising. Hhm rasa mcm tak berbaloi dgn harga rm20+. Tp lawa,Negative
E004,Shopee,"SPRISE Bass Stereo Portable Bluetooth Speaker Wireless Mini, Louder Volume Spiker 蓝牙音响",Electronics ,Speaker,2,"Quality:Padan la dgn harga
 
 Charging Cable memang xde ek? Hahahha.. Entah la.. Tp bunyi dia sedap la jgk",Neutral
E005,Shopee,"SPRISE Bass Stereo Portable Bluetooth Speaker Wireless Mini, Louder Volume Spiker 蓝牙音响",Electronics ,Speaker,2,"Quality:Sound quality is 7/10..
 
 The supply don't even bother to check the item before despatch. There's no manual attached with the unit. Even nearby it took time to deliver.
 Bad service",Negative
E006,Shopee,"SPRISE Bass Stereo Portable Bluetooth Speaker Wireless Mini, Louder Volume Spiker 蓝牙音响",Electronics ,Speaker,2,Guna tak sampai 2 minggu. Mula ok pastu Bluetooth dah tak boleh detect kena pakai wire sahaja. Hmm cari brand lain je lah.,Negative
E007,Lazada,SriHome SH029 Outdoor WiFi CCTV IP Security Camera 1296 Super Full HD + IR Night Vision + IP66 Waterproof,Electronics ,Camera,2,"product poor quality. because of it I bought two new SD card to test it can read for few minutes. then not able found the card. then take out put back it can read, after few minutes again card not found. but you put the card in laptop, card no problems, just became not able format because it became write protected after recorded",Negative
E008,Lazada,SriHome SH029 Outdoor WiFi CCTV IP Security Camera 1296 Super Full HD + IR Night Vision + IP66 Waterproof,Electronics ,Camera,2,"To date 5/1/24 I'm yet to receive my order. As I informed u earlier my house address is No 3, 9/2. The photo shown by Yr agent is no. 3A. Even I am not familiar where that 3A address is located.
 Please deliver my order to my address.",Negative
E009,Lazada,SriHome SH029 Outdoor WiFi CCTV IP Security Camera 1296 Super Full HD + IR Night Vision + IP66 Waterproof,Electronics ,Camera,2,"Terrible experience, bot 2 unit, 1unit spoilt, been busy so can't check it on time. Good luck buyer.",Negative
E010,Lazada,SriHome SH029 Outdoor WiFi CCTV IP Security Camera 1296 Super Full HD + IR Night Vision + IP66 Waterproof,Electronics ,Camera,2,Cannot download direct to handphone.. must take out from memory card.. if the camera is outside and height how to get the memory card.. low spec.,Negative
E011,Lazada,SriHome SH029 Outdoor WiFi CCTV IP Security Camera 1296 Super Full HD + IR Night Vision + IP66 Waterproof,Electronics ,Camera,2,One of the camera recording image turns blue-ish after 3 days of usage. Not sure is it faulty sensor or what not. I have one similar cam in the past and was doing pretty well after 9 months of usage. Kinda disappointed with the quality this round.,Negative
E012,Shopee,1600W Peak Power HiFi Sound Amplifier Digital 4 Channel,Electronics ,Speaker,5,"Performance:bagus
 Quality:bagus
 
 Barang sampai belum cuba lagi harap2 ok la",Neutral
E013,Shopee,1600W Peak Power HiFi Sound Amplifier Digital 4 Channel,Electronics ,Speaker,5,"Quality:baik
 Performance:baik
 
 Bunyi yg sedap bergantung pada jenama speaker..
 Untuk dlm bilik mmg seda0 bunyi..bnyi basss dtg woo",Positive
E014,Shopee,1600W Peak Power HiFi Sound Amplifier Digital 4 Channel,Electronics ,Speaker,5,"Performance:ok
 Quality:ok
 
 Fast delivery good management and item handling. Bought for friend and no complaint assume its all okay",Positive
E015,Shopee,1600W Peak Power HiFi Sound Amplifier Digital 4 Channel,Electronics ,Speaker,5,"Quality:good
 Performance:not try yet
 
 Ready receive tq",Positive
E016,Shopee,1600W Peak Power HiFi Sound Amplifier Digital 4 Channel,Electronics ,Speaker,5,"Quality:ok
 Performance:not tested yet
 
 barang sudah sampai boss 👌🏼 mantapp, seperti yang di order 👍🏼 belum test lagi ,harap² mantap la sound dia . saya beli barang tersebut dengan harga yang tersebut boss 🤝",Positive
E017,Shopee,"XPPen Star G640 Drawing Tablet Graphic Tablet Digital Pen Tablet With 8192 Levels Pressure (6 x 4"")",Electronics ,Tablet,3,Ok la. Boleh la.. kdg lncr . Kdg x.. parcel sampai hampir 3 minggu baru dàpat kt tngn.,Neutral
E018,Shopee,"XPPen Star G640 Drawing Tablet Graphic Tablet Digital Pen Tablet With 8192 Levels Pressure (6 x 4"")",Electronics ,Tablet,3,Performance:Slight chip-off's at the top frame indicating lack of quality control. Usage wise is so far so good.,Neutral
E019,Shopee,"XPPen Star G640 Drawing Tablet Graphic Tablet Digital Pen Tablet With 8192 Levels Pressure (6 x 4"")",Electronics ,Tablet,3,"Performance:Seller was not responsive
 
 Seller was not responsive. I was planning to switch to a bigger pad sold by the same seller, but he/she responded late, and didn't seem to answer the question. The seller responded only after he/she had delivered the initial order. If there's an option for 0 star, I would give the seller zero star instead.",Negative
E020,Shopee,"XPPen Star G640 Drawing Tablet Graphic Tablet Digital Pen Tablet With 8192 Levels Pressure (6 x 4"")",Electronics ,Tablet,3,"Performance:ok
 
 1st delay in delivery by SPX. 2nd SPX courier just threw on the ground like that. Luckily nothing is damaged and item works perfectly",Negative
E021,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 30W 2C1A",Electronics ,Charger,5,"Performance:abive and beyond
 Durability:standard
 
 The UGREEN 30W/20W GaN Charger is compact, powerful, and perfect for fast charging on the go! I love how quickly it charges my phone and other devices. The build quality is excellent, and the size makes it super convenient for travel. A great buy—highly recommended! 👍⚡️ #UGREEN #Charger #GaN #Tech #Travel #Power #Phone #Gadgets",Positive
E022,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 30W 2C1A",Electronics ,Charger,5,"Performance:Output 30W memang padu, cas iPhone atau Android cepat penuh tanpa masalah panas melampau.
 Durability:Material tahan panas dan kaki plug sangat kukuh, tak goyang bila cucuk kat wall socket.
 
 ​Terbaik Ugreen! Walaupun ada 3 port, saiz charger ni sangat kompak sebab guna teknologi GaN. Senang sangat nak bawa travel atau letak kat office. Tak perlu bawa banyak kepala charger sebab satu ni dah boleh cas phone dan tablet serentak. Build quality memang premium, rasa berat dan solid. Penghantaran pantas, bungkusan pun selamat.",Positive
E023,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 20W 1C1A",Electronics ,Charger,5,"Durability:Compact & Sturdy!
 Performance:Efficient Charger
 
 Bought this UGREEN 20W charger from Shopee, and it’s been fantastic! The dual ports (USB-C PD and USB-A QC 3.0) allow me to charge two devices simultaneously without any drop in speed. It’s compact, making it perfect for travel, and the build quality feels solid. Highly recommend for anyone needing a reliable fast charger!",Positive
E024,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 30W 2C1A",Electronics ,Charger,5,"The UGREEN 30W/20W GaN Charger is compact, powerful, and perfect for fast charging on the go! I love how quickly it charges my phone and other devices. The build quality is excellent, and the size makes it super convenient for travel.
 I’m not sure if this is fast charge or not but it definitely good to use !
 Super fast delivery, received my order the very next day",Positive
E025,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 45W 2C1A",Electronics ,Charger,5,"Performance:Excellent!
 Durability:Quite rigid!
 
 Super fast charging 2.0 support for my samsung phone!
 Support 45w!
 Fast delivery!
 Better than samsung authentic charger!
 Trust me, you guys will love it!
 1 month of usage, satisfied until now!
 My samsung original 45w charger short circuit on its own, the reason I bought UGREEN!
 Thank you seller!",Positive
E026,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 30W 2C1A",Electronics ,Charger,5,"Performance:Mudah guna & caj pantas
 Durability:Kukuh, lasak, mudah guna
 
 Mantappp charger nih. Banyak port boleh guna dalam 1. Jimat ruang. Jika tempat charge terhad, ini memudahkan. Caj pun cepat. USB biasa bley, type C bley. Tak risau. Boleh berkongsi guna. Sesuai bawak travel/harian",Positive
E027,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 20W 1C1A",Electronics ,Charger,5,"Performance:bagus
 Durability:kecil compact
 
 Saya guna charger ini untuk cas telefon dan power bank setiap hari di meja kerja. Saiz memang kecil dan mudah dibawa, tidak mengganggu soket lain bila dipasang pada extension. Kelajuan pengecasan stabil dan tidak panas berlebihan walaupun digunakan agak lama. Kualiti binaan terasa kukuh dan port kemas. Sesuai untuk kegunaan harian atau travel kerana ringkas dan praktikal. Setakat ini prestasi konsisten dan memenuhi keperluan pengecasan saya.",Positive
E028,Lazada,"Acer Chromebook C720/C740, Intel Celeron Processor, SSD, 12 Inch LED Display, Wifi, HDMI ....",Electronics ,Laptop,3,poor quality worth 60 to 70Rm only,Negative
E029,Lazada,"Acer Chromebook C720/C740, Intel Celeron Processor, SSD, 12 Inch LED Display, Wifi, HDMI ....",Electronics ,Laptop,3,"Harga:harga sesuai dengan barang, barang bekas biasa la terima apa adanya
  Prestasi:ok buas hati nonton, cuma tidak boleh download aplikasi, pasal dalam mode tamu.
  Hayat Bateri:tahan lama",Neutral
E030,Lazada,"Acer Chromebook C720/C740, Intel Celeron Processor, SSD, 12 Inch LED Display, Wifi, HDMI ....",Electronics ,Laptop,3,"Item was packed on the same day but took 3 days for LEX to pick up.
 Item received with packaging intact, laptop was bubble wrapped and intact, but bottom found crack. Check with seller to understand more but only reply was 'check with LZD customer service'.
 System working fine so don't want the hassle of returning and refund, but wasn't happy with the way of after sales services.",Negative
E031,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 30W 2C1A【Pink】",Electronics ,Charger,5,"Performance:The charger delivers fast charging and works efficiently.
 Durability:Build material feels solid and suitable for daily use. It has a nice matte feel and I like the dirty pink colour.",Positive
E032,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 20W 1C1A【Pink】",Electronics ,Charger,5,"Performance:Efficient charging!
 Durability:Sturdy for everyday use!
 
 Bought a charger for my Eufy S1 Wearable Breast Pump. The pink colour matches nicely with my pump and the wire!!!🩷",Positive
E033,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 20W 1C1A",Electronics ,Charger,5,"Performance:incredible
 Durability:super good
 
 I doubt it, but it surprises me, the charger is really good, charges my phone really fast and well! It even arrived in hours, not even up to a full day.
 Thank u so much.",Positive
E034,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 45W 2C1A",Electronics ,Charger,5,"Performance:Excellent
 Durability:Excellent
 
 The charger working as expected. Small size but heavy. It's a solid build. This brand quality is excellent and same level as the high end brand. I personally recommend this brand.",Positive
E035,Shopee,"【Nexode】UGREEN 45W/30W/20W GaN Charger USB-C/USB-A 2/3 Ports Charger Nexode GaN Fast Charger USB-C Power Adapter for iPhone 16 Pro Max/15/14/13, GaN 30W 2C1A【Pink】",Electronics ,Charger,5,"Performance:support super charge 2.0 for samsung and fast charge up to 30w for iphone 17pm
 Durability:solid build out and sweet colour , bought at a reasonable price",Positive
E036,Lazada,18w Fast Charger Dual USB QC3.0 Fast Charging Adapter With Cable For Micro Ip Type-C For Ip Samsung Huawei Oppo Vivo Xiaomi Realme,Electronics ,Charger,1,"barang diterima tak ada kualiti. tak bole guna langsung. 
 Sedih......",Negative
E037,Lazada,18w Fast Charger Dual USB QC3.0 Fast Charging Adapter With Cable For Micro Ip Type-C For Ip Samsung Huawei Oppo Vivo Xiaomi Realme,Electronics ,Charger,1,"phone hang while charging 
 stuck
 better cust choose another seller",Negative
E038,Lazada,18w Fast Charger Dual USB QC3.0 Fast Charging Adapter With Cable For Micro Ip Type-C For Ip Samsung Huawei Oppo Vivo Xiaomi Realme,Electronics ,Charger,1,cannot use 😅😅😅😅😅,Negative
E039,Lazada,18w Fast Charger Dual USB QC3.0 Fast Charging Adapter With Cable For Micro Ip Type-C For Ip Samsung Huawei Oppo Vivo Xiaomi Realme,Electronics ,Charger,1,"⚡Charging Speed:x fast charging, biasa je
  tulis punya banyak",Negative
E040,Lazada,18w Fast Charger Dual USB QC3.0 Fast Charging Adapter With Cable For Micro Ip Type-C For Ip Samsung Huawei Oppo Vivo Xiaomi Realme,Electronics ,Charger,1,tak dpt wayer pun cuma adapter saja,Negative
E041,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Black TypeC",Electronics ,Earphone,1,"Value For Money:meh
 Best Feature(s):cable
 Performance:bad
 
 Awful, colours the sound heavily, frequencies cut off, not worth more than 2$, five stars for fast shipping though",Negative
E042,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Obsidian Black",Electronics ,Earphone,1,Stopped working after 1 month,Negative
E043,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Black TypeC",Electronics ,Earphone,1,"Performance:sounded good but stopped working one day
 Best Feature(s):doesnt fall off easily when worn
 Value For Money:its alr
 
 its cheap and sounded decent but i barely used it for 2 months and it stopped working when i was using it one day",Negative
E044,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Black TypeC",Electronics ,Earphone,1,"Best Feature(s):Snug fit on ear
 Value For Money:No
 
 Disappointed as I don't understand how a earpiece can do this, and not just with my laptop, but my brothers' and even my phone too",Negative
E045,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Calamus Purple",Electronics ,Earphone,1,"Sound quality:The audio is extremely choppy and it somehow made the background music of the song i listened too louder, making the music sound weird. As for the part where you speak into it to hear your voice for video chats or recording of voice, the audio also sounds choppy and the audio cuts off on its own
 Comfort:The earpiece itself in my ear was very comfortable, but the audio was just seriously bad
 
 I think I may have gotten a defective earpiece, as I have seen many good reviews on this earpiece, but I am sad that the one I got was really just bad.",Negative
E046,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Black TypeC",Electronics ,Earphone,1,"Quality:extremely bad
 Performance:bad
 
 I bought these headphones for gaming, but they make distant footsteps extremely quiet, a problem I don't experience with my regular Bluetooth headphones. The build quality is also poor; I think I'll have to buy a new pair in a few months. I waited half a month for these headphones and they delivered such a terrible product!",Negative
E047,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Obsidian Black",Electronics ,Earphone,5,"Quality:earphones material is good
 Performance:clear sound with bass
 
 Good quality for the price. Nice and clear sound. Microphone is also clear and loud. Worth buying👍🏻",Positive
E048,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Obsidian Black",Electronics ,Earphone,5,Barang sampai dalam keadaan baik. Tiada sebarang kerosakan. Barang sudah dicuba dan berfungsi dengan baik. Memang best sound dia. Noise cancelling betul. Berbaloi beli time sales. Harga berpatutan dengan kualiti.,Positive
E049,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Calamus Purple",Electronics ,Earphone,5,"Performance:Good
 Quality:The bass is good too
 
 I would say the sound quality is so good that i am shocked actually. The color is pretty but i can say that the color purple and pink looks same",Positive
E050,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Obsidian Black",Electronics ,Earphone,4,"Performance:Has quite a good bass for its price
 Quality:Quality is quite good
 
 Purchasing it for the second time, overall the quality and the sound system is quite good for the price you’re paying which i would recommend! Delivery was fast, took 1 day only to receive it!",Positive
E051,Shopee,"SPRISE New X6 Deep Bass Dynamic Wired In-Ear Earphone With Mic Stereo Earfon Earpiece Headset 3.5mm Earfone Monitor 耳机有线, Black TypeC",Electronics ,Earphone,5,"Performance:good
 Quality:good
 
 The sound quality is clear with decent bass for a wired earphone. Easy to use, no delay, and works well for calls and music. Cable feels durable and comfortable to wear. Good value for the price, satisfied with the purchase.",Positive
